ID,consumption_1,consumption_2
1251,105,97
1252,106,98
1253,106,96
1254,115,97
1255,119,102
1256,116,104
1257,111,103
1258,109,94
1259,103,91
1260,103,89
1261,103,89
1262,103,90
1263,105,88
1264,113,92
1265,125,92
1266,115,99
1267,118,99
1268,115,97
1269,113,95
1270,112,100
1271,112,100
1272,107,101
1273,109,104
1274,106,102
1275,107,103
1276,109,106
1277,105,105
1278,109,106
1279,110,107
1280,109,104
1281,106,105
1282,107,102
1283,110,98
1284,106,99
1285,105,95
1286,106,95
1287,103,95
1288,102,93
1289,105,95
1290,108,99
1291,104,101
1292,107,100
1293,111,99
1294,107,96
1295,105,96
1296,106,96
1297,105,96
1298,106,96
1299,106,97
1300,106,97
1301,104,96
1302,105,95
1303,105,95
1304,107,94
1305,104,97
1306,107,93
1307,107,89
1308,106,90
1309,104,95
1310,104,99
1311,102,98
1312,102,95
1313,103,102
1314,102,104
1315,112,100
1316,115,101
1317,111,100
1318,104,100
1319,100,100
1320,101,100
1321,100,105
1322,104,104
1323,103,100
1324,104,102
1325,102,101
1326,110,98
1327,108,100
1328,111,96
1329,104,96
1330,112,98
1331,111,97
1332,107,91
1333,104,92
1334,115,94
1335,108,91
1336,106,91
1337,111,97
1338,108,96
1339,109,101
1340,111,102
1341,111,100
1342,107,103
1343,107,105
1344,107,102
1345,106,103
1346,107,106
1347,107,105
1348,111,106
1349,108,106
1350,112,106
1351,118,106
1352,118,107
1353,113,109
1354,112,105
1355,109,100
1356,109,97
1357,108,96
1358,108,94
1359,109,96
1360,110,94
1361,110,99
1362,107,100
1363,104,108
1364,106,105
1365,109,104
1366,107,102
1367,104,110
1368,104,105
1369,102,104
1370,105,107
1371,104,104
1372,108,107
1373,113,105
1374,118,108
1375,125,110
1376,124,111
1377,117,108
1378,111,101
1379,112,101
1380,111,100
1381,105,99
1382,106,95
1383,109,94
1384,110,94
1385,114,98
1386,112,107
1387,115,112
1388,113,110
1389,113,111
1390,108,112
1391,109,112
1392,107,112
1393,107,112
1394,112,114
1395,115,113
1396,113,111
1397,115,111
1398,116,111
1399,126,115
1400,125,113
1401,123,111
1402,123,105
1403,116,102
1404,106,99
1405,108,98
1406,113,101
1407,111,98
1408,110,97
1409,111,106
1410,112,113
1411,113,112
1412,117,112
1413,117,108
1414,112,106
1415,111,108
1416,115,106
1417,116,105
1418,117,107
1419,120,104
1420,120,104
1421,121,103
1422,122,104
1423,126,105
1424,127,107
1425,125,106
1426,124,101
1427,118,100
1428,112,97
1429,110,97
1430,109,96
1431,109,98
1432,115,97
1433,118,99
1434,112,103
1435,115,106
1436,113,106
1437,116,110
1438,117,108
1439,117,106
1440,116,106
1441,115,109
1442,115,108
1443,115,108
1444,117,110
1445,118,110
1446,119,111
1447,118,111
1448,120,113
1449,117,113
1450,123,102
1451,124,104
1452,122,102
1453,123,100
1454,123,96
1455,126,94
1456,125,100
1457,128,105
1458,124,107
1459,123,111
1460,121,113
1461,121,110
1462,122,113
1463,127,111
1464,124,109
1465,119,110
1466,118,109
1467,117,107
1468,118,111
1469,119,108
1470,118,106
1471,120,103
1472,118,107
1473,116,104
1474,115,101
1475,119,103
1476,119,102
1477,117,100
1478,119,99
1479,116,96
1480,116,96
1481,117,102
1482,118,105
1483,117,111
1484,122,114
1485,121,106
1486,119,104
1487,116,98
1488,38,101
1489,94,100
1490,91,103
1491,88,101
1492,89,102
1493,91,106
1494,92,103
1495,99,111
1496,102,111
1497,104,114
1498,108,109
1499,104,104
1500,96,100
1501,95,97
1502,97,98
1503,100,97
1504,99,96
1505,99,96
1506,95,100
1507,94,100
1508,95,109
1509,97,107
1510,91,103
1511,91,108
1512,96,106
1513,98,110
1514,98,110
1515,98,112
1516,98,114
1517,100,112
1518,106,129
1519,190,214
1520,259,317
1521,273,352
1522,281,393
1523,263,397
1524,246,366
1525,237,350
1526,257,308
1527,257,303
1528,256,309
1529,239,282
1530,208,234
1531,184,211
1532,169,205
1533,139,201
1534,126,185
1535,124,180
1536,122,185
1537,121,187
1538,123,186
1539,122,187
1540,123,190
1541,123,192
1542,142,201
1543,207,283
1544,243,355
1545,260,375
1546,256,374
1547,251,380
1548,241,355
1549,240,316
1550,252,266
1551,258,254
1552,253,278
1553,230,281
1554,191,259
1555,183,219
1556,169,202
1557,138,199
1558,119,192
1559,112,190
1560,113,192
1561,112,191
1562,116,192
1563,114,195
1564,113,195
1565,112,197
1566,137,212
1567,210,296
1568,272,367
1569,300,403
1570,308,389
1571,307,390
1572,275,370
1573,250,352
1574,263,307
1575,259,330
1576,254,315
1577,248,276
1578,220,244
1579,185,229
1580,170,226
1581,147,212
1582,131,196
1583,122,192
1584,124,196
1585,123,200
1586,128,200
1587,121,203
1588,121,205
1589,124,205
1590,135,222
1591,214,340
1592,282,469
1593,293,542
1594,312,481
1595,298,444
1596,258,393
1597,251,368
1598,258,316
1599,259,324
1600,259,318
1601,246,285
1602,212,228
1603,200,211
1604,185,210
1605,175,207
1606,163,202
1607,141,199
1608,126,199
1609,125,198
1610,127,200
1611,124,197
1612,125,196
1613,123,198
1614,127,197
1615,129,203
1616,134,211
1617,131,211
1618,138,216
1619,136,218
1620,132,205
1621,130,197
1622,128,190
1623,127,195
1624,131,196
1625,128,199
1626,131,196
1627,130,193
1628,129,193
1629,125,196
1630,125,199
1631,126,201
1632,116,200
1633,115,200
1634,113,200
1635,108,201
1636,113,200
1637,117,201
1638,113,202
1639,109,200
1640,119,200
1641,115,199
1642,111,199
1643,116,199
1644,114,196
1645,113,193
1646,110,194
1647,117,194
1648,121,193
1649,121,196
1650,129,203
1651,117,207
1652,116,211
1653,125,206
1654,123,204
1655,111,204
1656,110,201
1657,118,202
1658,116,203
1659,107,201
1660,113,201
1661,113,200
1662,131,210
1663,231,302
1664,279,403
1665,287,445
1666,296,440
1667,295,447
1668,273,445
1669,281,448
1670,300,411
1671,297,400
1672,292,388
1673,273,367
1674,235,328
1675,208,305
1676,191,287
1677,166,288
1678,149,263
1679,123,259
1680,122,259
1681,121,258
1682,120,260
1683,119,260
1684,119,260
1685,120,259
1686,140,271
1687,210,355
1688,261,445
1689,285,467
1690,295,469
1691,312,486
1692,282,466
1693,275,441
1694,329,396
1695,342,400
1696,336,390
1697,318,378
1698,257,330
1699,204,272
1700,165,269
1701,131,269
1702,121,254
1703,122,255
1704,119,249
1705,114,246
1706,115,244
1707,114,245
1708,113,247
1709,116,247
1710,139,269
1711,222,346
1712,259,423
1713,274,456
1714,290,460
1715,298,466
1716,256,429
1717,258,398
1718,273,349
1719,275,339
1720,272,358
1721,256,339
1722,227,295
1723,211,281
1724,198,274
1725,149,272
1726,122,259
1727,115,256
1728,113,252
1729,113,255
1730,115,253
1731,111,254
1732,112,256
1733,110,258
1734,133,270
1735,215,344
1736,268,393
1737,312,444
1738,342,430
1739,329,429
1740,296,416
1741,281,416
1742,301,341
1743,303,333
1744,299,347
1745,273,332
1746,238,286
1747,208,254
1748,185,239
1749,152,237
1750,134,227
1751,130,227
1752,130,224
1753,129,225
1754,130,222
1755,128,224
1756,127,226
1757,126,226
1758,152,242
1759,216,321
1760,266,384
1761,289,405
1762,289,399
1763,287,395
1764,251,382
1765,253,382
1766,278,323
1767,280,324
1768,259,305
1769,241,304
1770,202,281
1771,180,266
1772,175,260
1773,163,256
1774,143,246
1775,119,244
1776,119,243
1777,117,250
1778,121,249
1779,120,252
1780,122,250
1781,122,254
1782,125,254
1783,135,260
1784,148,267
1785,150,271
1786,145,279
1787,138,283
1788,131,271
1789,128,270
1790,126,273
1791,130,271
1792,134,266
1793,135,261
1794,131,258
1795,137,258
1796,127,254
1797,133,254
1798,133,250
1799,126,249
1800,123,249
1801,129,251
1802,131,249
1803,128,249
1804,124,251
1805,129,250
1806,127,255
1807,127,255
1808,124,255
1809,125,253
1810,125,250
1811,123,248
1812,123,251
1813,121,245
1814,129,246
1815,131,243
1816,128,244
1817,128,249
1818,131,254
1819,130,256
1820,131,258
1821,133,257
1822,131,258
1823,130,255
1824,128,254
1825,128,254
1826,128,253
1827,130,255
1828,129,259
1829,131,257
1830,145,278
1831,208,350
1832,241,393
1833,264,422
1834,281,440
1835,266,429
1836,252,446
1837,255,423
1838,260,355
1839,253,348
1840,238,345
1841,227,347
1842,202,322
1843,178,288
1844,159,288
1845,131,287
1846,123,270
1847,118,268
1848,127,270
1849,129,272
1850,127,274
1851,128,277
1852,132,277
1853,130,278
1854,145,295
1855,213,383
1856,240,429
1857,264,429
1858,272,420
1859,271,426
1860,241,431
1861,244,425
1862,250,343
1863,245,339
1864,249,334
1865,284,330
1866,235,299
1867,184,285
1868,164,285
1869,139,278
1870,128,259
1871,132,260
1872,134,261
1873,134,261
1874,131,262
1875,133,263
1876,132,267
1877,133,267
1878,150,281
1879,216,347
1880,242,399
1881,258,434
1882,270,436
1883,289,439
1884,261,441
1885,237,426
1886,243,369
1887,261,360
1888,267,356
1889,260,350
1890,226,326
1891,209,297
1892,183,283
1893,149,277
1894,146,272
1895,146,270
1896,145,269
1897,129,272
1898,130,270
1899,132,274
1900,132,274
1901,133,275
1902,149,292
1903,209,373
1904,241,407
1905,259,440
1906,326,452
1907,314,453
1908,261,443
1909,255,434
1910,257,363
1911,251,369
1912,254,349
1913,213,330
1914,187,314
1915,190,301
1916,162,300
1917,138,292
1918,122,264
1919,124,260
1920,129,262
1921,129,264
1922,129,265
1923,128,269
1924,128,272
1925,128,271
1926,144,284
1927,207,366
1928,230,421
1929,246,444
1930,262,446
1931,267,426
1932,238,408
1933,215,393
1934,224,336
1935,235,322
1936,236,289
1937,223,287
1938,198,267
1939,189,241
1940,167,233
1941,148,225
1942,140,219
1943,119,220
1944,121,219
1945,119,220
1946,121,220
1947,122,225
1948,123,226
1949,123,227
1950,128,229
1951,134,236
1952,140,241
1953,137,245
1954,141,247
1955,138,246
1956,132,240
1957,133,235
1958,126,223
1959,125,224
1960,129,226
1961,126,222
1962,123,225
1963,122,227
1964,122,230
1965,122,222
1966,121,217
1967,122,216
1968,121,218
1969,123,218
1970,124,219
1971,125,218
1972,126,219
1973,125,220
1974,125,223
1975,126,225
1976,127,219
1977,127,217
1978,127,223
1979,127,228
1980,128,225
1981,122,221
1982,122,215
1983,125,215
1984,123,216
1985,127,217
1986,126,220
1987,130,224
1988,128,225
1989,127,226
1990,124,220
1991,127,217
1992,126,219
1993,125,221
1994,123,223
1995,124,221
1996,123,220
1997,122,217
1998,140,237
1999,203,318
2000,246,386
2001,262,407
2002,282,397
2003,282,403
2004,257,406
2005,258,385
2006,268,319
2007,268,323
2008,270,332
2009,259,325
2010,232,301
2011,199,270
2012,177,259
2013,144,256
2014,124,240
2015,128,236
2016,129,239
2017,127,244
2018,125,248
2019,126,248
2020,126,249
2021,127,250
2022,141,263
2023,212,354
2024,260,390
2025,290,410
2026,292,432
2027,285,440
2028,268,418
2029,264,411
2030,270,329
2031,269,324
2032,265,320
2033,251,320
2034,225,296
2035,200,274
2036,176,269
2037,146,262
2038,136,243
2039,119,242
2040,114,242
2041,120,244
2042,123,246
2043,126,248
2044,125,250
2045,124,248
2046,141,266
2047,211,353
2048,250,410
2049,265,441
2050,271,437
2051,268,459
2052,254,470
2053,247,440
2054,261,381
2055,269,385
2056,264,373
2057,250,345
2058,222,294
2059,197,278
2060,165,267
2061,131,261
2062,124,248
2063,130,250
2064,132,248
2065,132,248
2066,132,246
2067,133,252
2068,132,252
2069,133,249
2070,145,258
2071,217,342
2072,263,392
2073,281,418
2074,297,419
2075,293,417
2076,277,435
2077,273,422
2078,290,334
2079,278,324
2080,265,329
2081,248,304
2082,221,265
2083,208,251
2084,192,242
2085,160,233
2086,127,216
2087,133,214
2088,131,215
2089,128,217
2090,129,219
2091,128,225
2092,129,221
2093,128,220
2094,141,236
2095,210,316
2096,252,392
2097,277,402
2098,292,419
2099,294,423
2100,273,426
2101,268,410
2102,272,349
2103,268,330
2104,257,331
2105,242,310
2106,206,275
2107,187,262
2108,174,250
2109,163,247
2110,144,238
2111,122,236
2112,118,239
2113,120,241
2114,118,238
2115,117,241
2116,117,240
2117,120,243
2118,123,242
2119,128,250
2120,132,265
2121,135,289
2122,144,329
2123,143,335
2124,142,331
2125,142,304
2126,144,302
2127,148,274
2128,155,265
2129,142,254
2130,138,241
2131,136,239
2132,129,237
2133,122,234
2134,118,232
2135,118,231
2136,117,234
2137,113,234
